,tag,distribution,params,sse
0,"[array(['ARR'], dtype='<U3')]",lognorm,"(np.float64(0.287291200942411), np.float64(-0.7617081215803342), np.float64(0.4251638942386201))",16.17117715663615
1,"[array(['ARR'], dtype='<U3')]",lognorm,"(np.float64(0.2608208869202294), np.float64(-1.7447613959635906), np.float64(1.4564704405287))",6.455607342589483
2,"[array(['ARR'], dtype='<U3')]",lognorm,"(np.float64(0.17533935843042853), np.float64(-1.53981183078092), np.float64(1.3605594638325789))",1.9806345559876841
3,"[array(['ARR'], dtype='<U3')]",lognorm,"(np.float64(0.1678678454517879), np.float64(-2.2051248827926013), np.float64(1.348519361732505))",2.798171435838947
4,"[array(['ARR'], dtype='<U3')]",lognorm,"(np.float64(0.3839365426067437), np.float64(-1.2177883447049347), np.float64(0.9824641682743304))",1.0390243333770266
5,"[array(['ARR'], dtype='<U3')]",lognorm,"(np.float64(0.001689310713695383), np.float64(-89.4656690384164), np.float64(89.30945304907797))",4.23984272920654
6,"[array(['ARR'], dtype='<U3')]",lognorm,"(np.float64(0.19096194538489258), np.float64(-2.0685476788663664), np.float64(1.5426634490830995))",4.232317862093931
7,"[array(['ARR'], dtype='<U3')]",lognorm,"(np.float64(0.2822781995322275), np.float64(-2.6134432219755293), np.float64(1.5857104934737003))",7.286211147044212
8,"[array(['ARR'], dtype='<U3')]",lognorm,"(np.float64(0.056618709797227745), np.float64(-5.022060958619672), np.float64(4.179915271824726))",12.871770578023805
9,"[array(['ARR'], dtype='<U3')]",beta,"(np.float64(8987.428150123804), np.float64(582.5799157749461), np.float64(-162.41185463653494), np.float64(172.0153262778602))",5.6498478761668105
10,"[array(['ARR'], dtype='<U3')]",lognorm,"(np.float64(0.1650161043534103), np.float64(-3.818260886671143), np.float64(2.9227204838905774))",9.002045895355714
11,"[array(['ARR'], dtype='<U3')]",beta,"(np.float64(12.477349868602547), np.float64(696.1409369493583), np.float64(-1.1858351400762237), np.float64(51.50629106625366))",5.664064278668101
12,"[array(['ARR'], dtype='<U3')]",lognorm,"(np.float64(0.09142202686388606), np.float64(-3.8268285148956256), np.float64(2.992737732457754))",5.482742810261967
13,"[array(['ARR'], dtype='<U3')]",lognorm,"(np.float64(0.21148262579276586), np.float64(-2.265439584527276), np.float64(1.3808945935601278))",17.288366265158416
14,"[array(['ARR'], dtype='<U3')]",lognorm,"(np.float64(0.10309099383297218), np.float64(-3.4421439372509237), np.float64(2.619868936880427))",16.455817963744696
15,"[array(['ARR'], dtype='<U3')]",lognorm,"(np.float64(0.1540866027479281), np.float64(-4.1388404638686564), np.float64(3.2768107435717555))",2.2559072719031024
16,"[array(['ARR'], dtype='<U3')]",lognorm,"(np.float64(0.001998298146392446), np.float64(-188.0535442097701), np.float64(187.93554557597724))",12.343496182471993
17,"[array(['ARR'], dtype='<U3')]",lognorm,"(np.float64(0.20625893563527517), np.float64(-0.8503660444190357), np.float64(0.6611335330586634))",61.197944795525515
18,"[array(['ARR'], dtype='<U3')]",lognorm,"(np.float64(0.24734440747755287), np.float64(-0.9261481372544342), np.float64(0.7299340843836918))",16.158152772448492
19,"[array(['ARR'], dtype='<U3')]",lognorm,"(np.float64(0.0831812465171472), np.float64(-5.892608881271359), np.float64(5.701600973026766))",2.208352465230168
20,"[array(['ARR'], dtype='<U3')]",lognorm,"(np.float64(0.08756673667432688), np.float64(-2.3387462912244734), np.float64(2.0023859144725424))",40.830213734209174
21,"[array(['ARR'], dtype='<U3')]",beta,"(np.float64(500523.4800000166), np.float64(163.71106062077536), np.float64(-16668.114493240035), np.float64(16673.40286664119))",2.108706495593986
22,"[array(['ARR'], dtype='<U3')]",lognorm,"(np.float64(0.14687686268716726), np.float64(-1.4358591603455042), np.float64(1.167167841417839))",11.618296891621144
23,"[array(['ARR'], dtype='<U3')]",lognorm,"(np.float64(0.23653171600885858), np.float64(-1.9565335164746922), np.float64(1.753379771756944))",7.220113641649714
24,"[array(['ARR'], dtype='<U3')]",lognorm,"(np.float64(0.13601335206968132), np.float64(-1.96141570298327), np.float64(1.7808219083722707))",8.477664037648465
25,"[array(['ARR'], dtype='<U3')]",lognorm,"(np.float64(0.1567141437127294), np.float64(-1.6148099378407181), np.float64(1.4345576246091527))",13.442054395894528
26,"[array(['ARR'], dtype='<U3')]",beta,"(np.float64(35.77772478630585), np.float64(523.2343198304775), np.float64(-2.096536872679293), np.float64(30.30913226529477))",1.037725222189533
27,"[array(['ARR'], dtype='<U3')]",lognorm,"(np.float64(0.23399779898864656), np.float64(-2.8609669032830105), np.float64(2.520662851898756))",0.42397727622971887
28,"[array(['ARR'], dtype='<U3')]",lognorm,"(np.float64(0.13674639899059526), np.float64(-3.2850193055824053), np.float64(3.095896022222985))",8.843759198948456
29,"[array(['ARR'], dtype='<U3')]",lognorm,"(np.float64(0.1559327951518737), np.float64(-1.8551239075861203), np.float64(1.6923608489011612))",9.303246786512226
30,"[array(['ARR'], dtype='<U3')]",lognorm,"(np.float64(0.011384161033984139), np.float64(-53.56989576386766), np.float64(53.40082297100514))",2.44914538645224
31,"[array(['ARR'], dtype='<U3')]",lognorm,"(np.float64(0.23202037871077286), np.float64(-2.393364031395028), np.float64(1.7341568857092964))",5.827298988568812
32,"[array(['ARR'], dtype='<U3')]",lognorm,"(np.float64(0.1597511273879918), np.float64(-2.219153961783166), np.float64(1.63871878729932))",24.218313233083816
33,"[array(['ARR'], dtype='<U3')]",lognorm,"(np.float64(0.406779881840281), np.float64(-0.7523855853362034), np.float64(0.4723658103014656))",8.955471070380662
34,"[array(['ARR'], dtype='<U3')]",lognorm,"(np.float64(0.2092662826778547), np.float64(-1.4190869521705975), np.float64(1.2216828078689703))",23.854802188281138
35,"[array(['ARR'], dtype='<U3')]",gamma,"(np.float64(27.119707982937513), np.float64(-0.8623966746402543), np.float64(0.02594896595657519))",4.373673168843141
36,"[array(['ARR'], dtype='<U3')]",lognorm,"(np.float64(0.1664683519264149), np.float64(-2.4704523866116106), np.float64(1.918066637346282))",10.101193939795804
37,"[array(['ARR'], dtype='<U3')]",lognorm,"(np.float64(0.10353888532730182), np.float64(-3.7345677652502984), np.float64(3.5710783119600684))",3.5794543143436353
38,"[array(['ARR'], dtype='<U3')]",lognorm,"(np.float64(0.09038487047619932), np.float64(-3.8949993291099982), np.float64(3.7137323065881))",11.751129486603116
39,"[array(['ARR'], dtype='<U3')]",lognorm,"(np.float64(0.11861522574385902), np.float64(-2.3574354390241563), np.float64(2.1573312496034713))",11.896492218602312
40,"[array(['ARR'], dtype='<U3')]",lognorm,"(np.float64(0.10712336437992753), np.float64(-1.5996201708738038), np.float64(1.454823736767029))",3.4194828201213827
41,"[array(['ARR'], dtype='<U3')]",lognorm,"(np.float64(0.0515390620527713), np.float64(-10.76678822475773), np.float64(10.593099049281964))",2.3915800472941715
42,"[array(['ARR'], dtype='<U3')]",lognorm,"(np.float64(0.10510358184628477), np.float64(-3.356616452116633), np.float64(3.177773557823274))",8.501328003254319
